filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,2,39,20,0,19,19,6,20,62,60,7091
simphyout/pop_6_n_20_1.newick,2,40,20,0,19,19,6,20,64,62,6721
simphyout/pop_6_n_20_1.newick,2,41,20,0,19,19,6,20,62,57,7344
simphyout/pop_6_n_20_1.newick,2,42,20,0,19,19,6,20,62,60,10928
simphyout/pop_6_n_20_1.newick,2,43,20,0,19,19,6,20,63,59,7764
simphyout/pop_6_n_20_1.newick,2,44,20,0,19,19,6,20,63,58,6736
simphyout/pop_6_n_20_1.newick,2,45,20,0,19,19,6,20,62,65,6689
simphyout/pop_6_n_20_1.newick,2,46,20,0,19,19,6,20,69,62,7049
simphyout/pop_6_n_20_1.newick,2,47,20,0,19,19,6,20,63,65,7351
simphyout/pop_6_n_20_1.newick,2,48,20,0,19,19,6,20,63,59,8118
simphyout/pop_6_n_20_1.newick,2,49,20,0,19,19,6,20,61,59,6833
simphyout/pop_6_n_20_1.newick,3,4,20,0,19,19,6,20,74,60,6949
simphyout/pop_6_n_20_1.newick,3,5,20,0,19,19,6,20,65,60,6999
simphyout/pop_6_n_20_1.newick,3,6,20,0,19,19,6,20,65,61,7053
simphyout/pop_6_n_20_1.newick,3,7,20,0,19,19,6,20,65,67,7883
simphyout/pop_6_n_20_1.newick,3,8,20,0,19,19,6,20,65,60,7239
simphyout/pop_6_n_20_1.newick,3,9,20,0,19,19,6,20,64,60,6713
simphyout/pop_6_n_20_1.newick,3,10,20,0,19,19,6,20,63,58,6755
simphyout/pop_6_n_20_1.newick,3,11,20,0,19,19,6,20,64,58,7410
simphyout/pop_6_n_20_1.newick,3,12,20,0,19,19,6,20,64,59,8766
simphyout/pop_6_n_20_1.newick,3,13,20,0,19,19,6,20,63,62,7591
simphyout/pop_6_n_20_1.newick,3,14,20,0,19,19,6,20,63,59,7241
simphyout/pop_6_n_20_1.newick,3,15,20,0,19,19,6,20,63,63,6906
simphyout/pop_6_n_20_1.newick,3,16,20,0,19,19,6,20,63,60,7708
simphyout/pop_6_n_20_1.newick,3,17,20,0,19,19,6,20,63,60,11431
simphyout/pop_6_n_20_1.newick,3,18,20,0,19,19,6,20,64,58,7632
simphyout/pop_6_n_20_1.newick,3,19,20,0,19,19,6,20,63,62,6594
simphyout/pop_6_n_20_1.newick,3,20,20,0,19,19,6,20,64,61,6614
simphyout/pop_6_n_20_1.newick,3,21,20,0,19,19,6,20,63,60,7644
simphyout/pop_6_n_20_1.newick,3,22,20,0,19,19,6,20,64,61,7159
simphyout/pop_6_n_20_1.newick,3,23,20,0,19,19,6,20,63,58,7896
simphyout/pop_6_n_20_1.newick,3,24,20,0,19,19,6,20,64,60,7274
simphyout/pop_6_n_20_1.newick,3,25,20,0,19,19,6,20,67,58,7078
simphyout/pop_6_n_20_1.newick,3,26,20,0,19,19,6,20,64,63,6837
