filename,tree1,tree2,time,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,algo,pop,n
simphyout/pop_6_n_20_1.newick,3,21,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,22,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,23,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,24,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,25,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,26,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,27,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,28,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,29,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,30,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,31,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,32,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,33,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,34,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,35,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,36,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,37,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,38,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,39,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,40,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,41,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,42,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,43,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,44,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,45,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,46,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,47,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,48,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,49,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,5,70,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,6,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,7,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,8,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,9,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,10,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,11,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,12,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,13,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,14,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,15,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,16,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,17,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,18,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,19,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,20,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,21,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,22,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,23,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,24,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,25,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,26,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,27,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,28,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,29,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,30,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,31,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,32,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,33,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,34,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,35,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,36,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,37,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,38,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,39,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,40,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,41,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,42,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,43,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,44,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,45,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,46,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,47,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,48,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,4,49,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,6,92,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,7,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,8,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,9,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,10,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,11,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,12,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,13,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,14,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,15,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,16,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,17,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,18,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,19,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,20,73,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,21,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,22,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,23,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,5,24,62,20,0,19,19,fast,6,20
