filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,fasttime,naivetime,bhvtime
trees_1000.newick,7,38,1001,49324,999,999,11122,238558,1043238
trees_1000.newick,7,39,1001,49868,999,999,11012,241559,1014457
trees_1000.newick,7,40,1001,49340,999,999,11436,236680,1050820
trees_1000.newick,7,41,1001,49754,999,999,10995,236782,1029663
trees_1000.newick,7,42,1001,49738,999,999,11125,240685,1045769
trees_1000.newick,7,43,1001,49671,999,999,11222,249695,1031615
trees_1000.newick,7,44,1001,49438,999,999,11033,243056,1099104
trees_1000.newick,7,45,1001,49423,999,999,11051,243083,1037262
trees_1000.newick,7,46,1001,49530,999,999,11391,239008,984804
trees_1000.newick,7,47,1001,49636,999,999,11034,237977,1106353
trees_1000.newick,7,48,1001,49825,999,999,11107,241712,986230
trees_1000.newick,7,49,1001,49283,999,999,11049,236235,1070810
trees_1000.newick,8,9,1001,49572,999,999,11016,239188,979991
trees_1000.newick,8,10,1001,49655,999,999,11020,236345,1046137
trees_1000.newick,8,11,1001,49520,999,999,11089,240436,965713
trees_1000.newick,8,12,1001,48991,999,999,10997,236713,1046835
trees_1000.newick,8,13,1001,49660,999,999,11104,241380,1326177
trees_1000.newick,8,14,1001,49819,999,999,10960,237918,1074303
trees_1000.newick,8,15,1001,49352,999,999,10957,236385,1003170
trees_1000.newick,8,16,1001,49450,999,999,11038,242840,1008413
trees_1000.newick,8,17,1001,49269,999,999,10764,237343,1379745
trees_1000.newick,8,18,1001,49101,999,999,10779,238361,1064848
trees_1000.newick,8,19,1001,49594,999,999,10859,242115,1081629
trees_1000.newick,8,20,1001,49029,999,999,11086,239911,1006031
trees_1000.newick,8,21,1001,49393,999,999,11099,246047,1412126
trees_1000.newick,8,22,1001,49177,999,999,10941,241970,1000968
trees_1000.newick,8,23,1001,49497,999,999,11031,238386,1083564
trees_1000.newick,8,24,1001,49489,999,999,11076,239722,1334287
trees_1000.newick,8,25,1001,49587,999,999,11059,240769,1068616
trees_1000.newick,8,26,1001,49159,999,999,11020,239403,1610170
trees_1000.newick,8,27,1001,49390,999,999,10996,244566,1072565
trees_1000.newick,8,28,1001,49271,999,999,10968,245330,1076277
trees_1000.newick,8,29,1001,49777,999,999,11069,241709,1071666
trees_1000.newick,8,30,1001,49076,999,999,11035,245520,1019056
trees_1000.newick,8,31,1001,49770,999,999,11070,241541,1086794
trees_1000.newick,8,32,1001,49609,999,999,11172,246379,1038342
trees_1000.newick,8,33,1001,48786,999,999,11367,240483,1086156
trees_1000.newick,8,34,1001,49038,999,999,10950,241321,1033533
trees_1000.newick,8,35,1001,49056,999,999,10895,243886,1086886
trees_1000.newick,8,36,1001,49646,999,999,11062,246371,1372819
trees_1000.newick,8,37,1001,48551,999,999,10892,238686,1294494
trees_1000.newick,8,38,1001,49196,999,999,11049,246569,1106273
trees_1000.newick,8,39,1001,49697,999,999,10961,242047,1632810
trees_1000.newick,8,40,1001,49312,999,999,11027,239409,1047259
trees_1000.newick,8,41,1001,49104,999,999,10870,246401,1362934
trees_1000.newick,8,42,1001,49722,999,999,11058,242996,1064274
trees_1000.newick,8,43,1001,49062,999,999,11090,245039,1067341
trees_1000.newick,8,44,1001,49436,999,999,11001,245172,1324950
trees_1000.newick,8,45,1001,48828,999,999,10934,236071,1310661
trees_1000.newick,8,46,1001,49510,999,999,11056,241326,1349392
trees_1000.newick,8,47,1001,49416,999,999,10964,236640,1050502
trees_1000.newick,8,48,1001,49411,999,999,11068,239810,986069
trees_1000.newick,8,49,1001,49409,999,999,11010,238595,1361614
trees_1000.newick,9,10,1001,48934,999,999,11001,248650,1028028
trees_1000.newick,9,11,1001,49006,999,999,11042,240341,1320877
trees_1000.newick,9,12,1001,49389,999,999,11002,239317,1026937
trees_1000.newick,9,13,1001,49041,999,999,11006,239902,975253
trees_1000.newick,9,14,1001,49274,999,999,10935,238391,1052083
trees_1000.newick,9,15,1001,48986,999,999,10959,238080,975637
trees_1000.newick,9,16,1001,49043,999,999,10993,241386,1358791
trees_1000.newick,9,17,1001,49570,999,999,11012,243280,1018589
trees_1000.newick,9,18,1001,49386,999,999,11022,240285,1044226
trees_1000.newick,9,19,1001,49393,999,999,11080,239155,1004026
trees_1000.newick,9,20,1001,49423,999,999,11102,245303,961044
trees_1000.newick,9,21,1001,49056,999,999,11003,242859,1043838
trees_1000.newick,9,22,1001,49159,999,999,10974,240308,1240949
trees_1000.newick,9,23,1001,49733,999,999,11089,238897,993901
trees_1000.newick,9,24,1001,49017,999,999,11003,235654,1018865
trees_1000.newick,9,25,1001,49555,999,999,10993,241629,1282220
trees_1000.newick,9,26,1001,49159,999,999,11042,236444,1217035
trees_1000.newick,9,27,1001,49053,999,999,10945,242472,1321859
trees_1000.newick,9,28,1001,48936,999,999,10771,244824,1208128
trees_1000.newick,9,29,1001,49227,999,999,10825,237132,1032363
