filename,i,j,incidence_time,total_time
simphyout\pop_8_n_1000_1.newick,23,30,36845585,37177302
simphyout\pop_8_n_1000_1.newick,23,31,35542902,35886078
simphyout\pop_8_n_1000_1.newick,23,32,34299983,34605899
simphyout\pop_8_n_1000_1.newick,23,33,38874756,39182628
simphyout\pop_8_n_1000_1.newick,23,34,38884501,39240504
simphyout\pop_8_n_1000_1.newick,23,35,38689084,39032472
simphyout\pop_8_n_1000_1.newick,23,36,37515507,37897896
simphyout\pop_8_n_1000_1.newick,23,37,36954436,37414085
simphyout\pop_8_n_1000_1.newick,23,38,36814472,37168497
simphyout\pop_8_n_1000_1.newick,23,39,38146980,38502349
simphyout\pop_8_n_1000_1.newick,23,40,35195881,35511725
simphyout\pop_8_n_1000_1.newick,23,41,38907669,39261572
simphyout\pop_8_n_1000_1.newick,23,42,36061640,36382288
simphyout\pop_8_n_1000_1.newick,23,43,36370230,36720934
simphyout\pop_8_n_1000_1.newick,23,44,36812659,37167745
simphyout\pop_8_n_1000_1.newick,23,45,37767227,38110482
simphyout\pop_8_n_1000_1.newick,23,46,36008129,36363629
simphyout\pop_8_n_1000_1.newick,23,47,36777224,37127008
simphyout\pop_8_n_1000_1.newick,23,48,36097469,36431579
simphyout\pop_8_n_1000_1.newick,23,49,35652134,35980519
simphyout\pop_8_n_1000_1.newick,24,25,34869073,35174693
simphyout\pop_8_n_1000_1.newick,24,26,36653171,37017222
simphyout\pop_8_n_1000_1.newick,24,27,37412107,37763305
simphyout\pop_8_n_1000_1.newick,24,28,36127708,36480504
simphyout\pop_8_n_1000_1.newick,24,29,36783806,37144106
simphyout\pop_8_n_1000_1.newick,24,30,38617640,38949025
simphyout\pop_8_n_1000_1.newick,24,31,38511485,38929087
simphyout\pop_8_n_1000_1.newick,24,32,37733790,38052793
simphyout\pop_8_n_1000_1.newick,24,33,37085032,37402488
simphyout\pop_8_n_1000_1.newick,24,34,35734470,36081811
simphyout\pop_8_n_1000_1.newick,24,35,35639274,36000345
simphyout\pop_8_n_1000_1.newick,24,36,33756600,34108272
simphyout\pop_8_n_1000_1.newick,24,37,35815350,36162434
simphyout\pop_8_n_1000_1.newick,24,38,38316426,38672612
simphyout\pop_8_n_1000_1.newick,24,39,36529773,36834382
simphyout\pop_8_n_1000_1.newick,24,40,37536872,37906133
simphyout\pop_8_n_1000_1.newick,24,41,38100981,38456205
simphyout\pop_8_n_1000_1.newick,24,42,35967038,36709689
simphyout\pop_8_n_1000_1.newick,24,43,36255226,36607919
simphyout\pop_8_n_1000_1.newick,24,44,38543849,38860563
simphyout\pop_8_n_1000_1.newick,24,45,37503338,37860604
simphyout\pop_8_n_1000_1.newick,24,46,36435666,36779822
simphyout\pop_8_n_1000_1.newick,24,47,36854514,37203323
simphyout\pop_8_n_1000_1.newick,24,48,35701897,36049758
simphyout\pop_8_n_1000_1.newick,24,49,36876955,37225800
simphyout\pop_8_n_1000_1.newick,25,26,34450575,34812510
simphyout\pop_8_n_1000_1.newick,25,27,34621929,34977667
simphyout\pop_8_n_1000_1.newick,25,28,32004069,32319447
simphyout\pop_8_n_1000_1.newick,25,29,33392335,33729423
simphyout\pop_8_n_1000_1.newick,25,30,32154682,32444602
simphyout\pop_8_n_1000_1.newick,25,31,32939770,33281186
simphyout\pop_8_n_1000_1.newick,25,32,33344497,33699669
simphyout\pop_8_n_1000_1.newick,25,33,34519728,34875733
simphyout\pop_8_n_1000_1.newick,25,34,34230178,34554155
simphyout\pop_8_n_1000_1.newick,25,35,34258613,34611943
simphyout\pop_8_n_1000_1.newick,25,36,33235210,33559041
simphyout\pop_8_n_1000_1.newick,25,37,35281107,35588493
simphyout\pop_8_n_1000_1.newick,25,38,35594541,35957642
simphyout\pop_8_n_1000_1.newick,25,39,35454667,35800886
simphyout\pop_8_n_1000_1.newick,25,40,32986384,33355442
simphyout\pop_8_n_1000_1.newick,25,41,33191623,33511253
simphyout\pop_8_n_1000_1.newick,25,42,33446405,33814654
simphyout\pop_8_n_1000_1.newick,25,43,35485467,35846243
simphyout\pop_8_n_1000_1.newick,25,44,36930293,37291033
simphyout\pop_8_n_1000_1.newick,25,45,32669120,33015084
simphyout\pop_8_n_1000_1.newick,25,46,33243775,33605330
simphyout\pop_8_n_1000_1.newick,25,47,36343422,36709179
simphyout\pop_8_n_1000_1.newick,25,48,35499835,35831675
simphyout\pop_8_n_1000_1.newick,25,49,34294333,34631814
simphyout\pop_8_n_1000_1.newick,26,27,38277048,38606600
simphyout\pop_8_n_1000_1.newick,26,28,35579416,35941059
simphyout\pop_8_n_1000_1.newick,26,29,37657364,37976289
simphyout\pop_8_n_1000_1.newick,26,30,36970305,37314250
simphyout\pop_8_n_1000_1.newick,26,31,34779129,35123941
simphyout\pop_8_n_1000_1.newick,26,32,35659395,36014459
simphyout\pop_8_n_1000_1.newick,26,33,37954954,38253429
simphyout\pop_8_n_1000_1.newick,26,34,37445838,37803726
simphyout\pop_8_n_1000_1.newick,26,35,38059644,38398862
simphyout\pop_8_n_1000_1.newick,26,36,37296877,37750202
simphyout\pop_8_n_1000_1.newick,26,37,38222948,38565762
simphyout\pop_8_n_1000_1.newick,26,38,38670855,39011194
simphyout\pop_8_n_1000_1.newick,26,39,37670866,38024161
simphyout\pop_8_n_1000_1.newick,26,40,37140114,37499194
simphyout\pop_8_n_1000_1.newick,26,41,36840455,37173059
simphyout\pop_8_n_1000_1.newick,26,42,37138662,37489961
simphyout\pop_8_n_1000_1.newick,26,43,36913335,37274644
simphyout\pop_8_n_1000_1.newick,26,44,38590805,38945145
simphyout\pop_8_n_1000_1.newick,26,45,35690588,36044279
simphyout\pop_8_n_1000_1.newick,26,46,35272637,35620590
simphyout\pop_8_n_1000_1.newick,26,47,38027246,38390478
simphyout\pop_8_n_1000_1.newick,26,48,37508549,37843576
simphyout\pop_8_n_1000_1.newick,26,49,39525663,39878341
simphyout\pop_8_n_1000_1.newick,27,28,37669314,38021135
simphyout\pop_8_n_1000_1.newick,27,29,37743545,38088879
simphyout\pop_8_n_1000_1.newick,27,30,36823463,37525170
simphyout\pop_8_n_1000_1.newick,27,31,40322589,40684368
simphyout\pop_8_n_1000_1.newick,27,32,36316394,37006990
simphyout\pop_8_n_1000_1.newick,27,33,39390561,39746367
simphyout\pop_8_n_1000_1.newick,27,34,40875836,41232761
simphyout\pop_8_n_1000_1.newick,27,35,36430022,36797018
simphyout\pop_8_n_1000_1.newick,27,36,36192924,36535379
simphyout\pop_8_n_1000_1.newick,27,37,37393760,37796015
simphyout\pop_8_n_1000_1.newick,27,38,39234640,39595264
simphyout\pop_8_n_1000_1.newick,27,39,39608333,39937505
simphyout\pop_8_n_1000_1.newick,27,40,40023385,40332273
simphyout\pop_8_n_1000_1.newick,27,41,37293845,37646583
simphyout\pop_8_n_1000_1.newick,27,42,37622971,37960620
simphyout\pop_8_n_1000_1.newick,27,43,41190984,41536615
simphyout\pop_8_n_1000_1.newick,27,44,38958402,39315002
simphyout\pop_8_n_1000_1.newick,27,45,38083627,38442984
simphyout\pop_8_n_1000_1.newick,27,46,36757946,37112984
simphyout\pop_8_n_1000_1.newick,27,47,39250330,39584449
simphyout\pop_8_n_1000_1.newick,27,48,39036737,39385647
simphyout\pop_8_n_1000_1.newick,27,49,37279063,37628029
simphyout\pop_8_n_1000_1.newick,28,29,37965304,38293216
simphyout\pop_8_n_1000_1.newick,28,30,35533461,35933001
simphyout\pop_8_n_1000_1.newick,28,31,34549927,34886252
simphyout\pop_8_n_1000_1.newick,28,32,36951114,37282604
simphyout\pop_8_n_1000_1.newick,28,33,37765863,38130866
simphyout\pop_8_n_1000_1.newick,28,34,37912915,38270507
simphyout\pop_8_n_1000_1.newick,28,35,36188260,36525449
simphyout\pop_8_n_1000_1.newick,28,36,38197767,38553704
simphyout\pop_8_n_1000_1.newick,28,37,37318588,37677885
simphyout\pop_8_n_1000_1.newick,28,38,36523926,36839275
simphyout\pop_8_n_1000_1.newick,28,39,40815140,41196338
simphyout\pop_8_n_1000_1.newick,28,40,37513670,37897457
simphyout\pop_8_n_1000_1.newick,28,41,39292977,39667644
simphyout\pop_8_n_1000_1.newick,28,42,39178181,39579752
simphyout\pop_8_n_1000_1.newick,28,43,40769756,41127029
simphyout\pop_8_n_1000_1.newick,28,44,41795775,42190342
simphyout\pop_8_n_1000_1.newick,28,45,41430504,41968733
simphyout\pop_8_n_1000_1.newick,28,46,34383155,34737125
simphyout\pop_8_n_1000_1.newick,28,47,36563805,36975375
simphyout\pop_8_n_1000_1.newick,28,48,32656074,33001653
simphyout\pop_8_n_1000_1.newick,28,49,36922835,37287626
simphyout\pop_8_n_1000_1.newick,29,30,37389880,37749528
simphyout\pop_8_n_1000_1.newick,29,31,38956549,39323611
simphyout\pop_8_n_1000_1.newick,29,32,36283183,36645331
simphyout\pop_8_n_1000_1.newick,29,33,37358294,37719700
simphyout\pop_8_n_1000_1.newick,29,34,37406891,37725340
simphyout\pop_8_n_1000_1.newick,29,35,36408370,36755579
simphyout\pop_8_n_1000_1.newick,29,36,36080281,36421643
simphyout\pop_8_n_1000_1.newick,29,37,34569951,34916332
simphyout\pop_8_n_1000_1.newick,29,38,39125474,39495616
simphyout\pop_8_n_1000_1.newick,29,39,36667128,37007655
simphyout\pop_8_n_1000_1.newick,29,40,35948015,36266446
simphyout\pop_8_n_1000_1.newick,29,41,37769093,38129692
simphyout\pop_8_n_1000_1.newick,29,42,37316046,37639393
simphyout\pop_8_n_1000_1.newick,29,43,35593928,35952462
simphyout\pop_8_n_1000_1.newick,29,44,36685819,37027073
simphyout\pop_8_n_1000_1.newick,29,45,37109307,37442852
simphyout\pop_8_n_1000_1.newick,29,46,36346493,36709311
simphyout\pop_8_n_1000_1.newick,29,47,38680545,39015873
simphyout\pop_8_n_1000_1.newick,29,48,36834815,37184907
simphyout\pop_8_n_1000_1.newick,29,49,35331275,35648382
simphyout\pop_8_n_1000_1.newick,30,31,37827823,38205806
simphyout\pop_8_n_1000_1.newick,30,32,35149556,35490472
simphyout\pop_8_n_1000_1.newick,30,33,37643742,38001645
simphyout\pop_8_n_1000_1.newick,30,34,36352767,36693945
simphyout\pop_8_n_1000_1.newick,30,35,35382047,35727048
simphyout\pop_8_n_1000_1.newick,30,36,36143306,36517328
simphyout\pop_8_n_1000_1.newick,30,37,35618970,35969793
simphyout\pop_8_n_1000_1.newick,30,38,36802873,37164506
simphyout\pop_8_n_1000_1.newick,30,39,35501670,35852578
simphyout\pop_8_n_1000_1.newick,30,40,36575876,36926289
simphyout\pop_8_n_1000_1.newick,30,41,35209492,35505269
simphyout\pop_8_n_1000_1.newick,30,42,36611846,36970820
simphyout\pop_8_n_1000_1.newick,30,43,34223563,34519177
simphyout\pop_8_n_1000_1.newick,30,44,38062533,38397873
simphyout\pop_8_n_1000_1.newick,30,45,35861967,36210783
simphyout\pop_8_n_1000_1.newick,30,46,33257830,33616051
simphyout\pop_8_n_1000_1.newick,30,47,38219450,38577073
simphyout\pop_8_n_1000_1.newick,30,48,36052663,36397701
